A1_A113 C3_B148
D6_A876 D4_A997
D6_A898 B1_B222
D6_A903 A5_B495
D6_A965 C6_A283
D6_A986 B2_A219
D6_A986 B2_A219
D6_A993 D4_A969
D6_A993 D4_A969
D6_A996 B1_C973
D6_B112 D3_B705
D6_B189 D1_C563
D6_B197 B2_A240
D6_B210 C6_A394
D6_B230 A6_A286
D6_B251 D2_B333
D6_B292 C1_A68
D6_B363 A4_A715
D6_B381 C4_B517
D6_B381 D4_B169
D6_B463 B5_C661
D6_B467 D1_B847
D6_B477 A7_B154
D6_B478 D2_C180
D6_B485 B4_A48
D6_B502 D1_B784
D6_B502 D1_B784
D6_B514 D3_A116
D6_B630 B7_C532
D6_B633 C5_B364
D6_B634 A2_B690
D6_B634 A2_B690
D6_B652 B6_B814
D6_B660 C3_C32
D6_B702 D1_A331
D6_B713 C4_C291
D6_B713 D1_B692
D6_B75 D4_C707
D6_B797 A2_A821
D6_B847 A1_B850
D6_B854 C6_B811
D6_B862 A5_B61
D6_B898 D3_B765
D6_B923 A7_B949
D6_B926 A6_C897
D6_B937 C1_B858
D6_C106 B4_C217
D6_C110 A4_B722
D6_C114 A1_C253
D6_C119 D6_C22
D6_C137 B4_C738
D6_C179 B3_B412
D6_C201 B5_A742
D6_C214 C2_A939
D6_C216 A5_B898
D6_C248 B4_B973
D6_C250 B6_A124
D6_C264 C2_B42
D6_C310 D6_A181
D6_C318 D1_A76
D6_C381 B2_A24
D6_C420 D6_A177
D6_C427 D3_C733
D6_C46 C6_C32
D6_C467 D2_A236
D6_C467 D4_C628
D6_C474 B4_C421
D6_C474 D3_C118
D6_C527 A3_C709
D6_C532 D1_C470
D6_C532 D1_C470
D6_C54 A1_C381
D6_C611 A7_B795
D6_C638 B7_B34
D6_C654 B5_C104
D6_C671 C6_A815
D6_C814 C1_B665
D6_C833 C4_A589
D6_C84 C7_A442
D6_C857 A7_B143
D6_C912 A3_A63
D6_C973 D4_C348
D7_A104 D4_C1
D7_A107 B5_A989
D7_A110 A6_B675
D7_A126 D6_C940
D7_A137 D6_B353
D7_A156 A7_B284
D7_A156 B5_B982
D7_A254 B1_A882
D7_A258 B1_B248
D7_A270 A4_B353
D7_A331 D5_C435
D7_A337 D7_A492
D7_A349 B4_C839
D7_A384 C3_C299
D7_A406 A3_C959
D7_A440 D7_C378
D7_A483 D3_A324
D7_A5 C3_C91
D7_A523 D1_A546
D7_A56 C3_C648
D7_A572 C1_A282
D7_A581 B7_B794
D7_A656 C7_A814
D7_A715 D2_A691
D7_A753 D2_A634
D7_A761 D4_C201
D7_A791 D6_B353
D7_A827 C7_C377
D7_A84 A7_B271
D7_A846 D1_B28
D7_A849 A1_C655
D7_A943 B2_B593
D7_B109 D3_B721
D7_B118 B5_C424
D7_B188 D7_B503
D7_B207 D6_B264
D7_B207 D6_B264
D7_B216 C5_A655
D7_B221 B5_A478
D7_B228 D3_B300
D7_B269 D1_B341
D7_B28 C6_B318
D7_B299 C2_A17
D7_B32 A7_B189
D7_B339 B2_A700
D7_B344 A4_C28
D7_B356 A6_A906
D7_B386 D4_B842
D7_B405 C7_B70
D7_B410 D5_C730
D7_B418 D6_C308
D7_B446 D7_A648
D7_B48 D7_C290
D7_B529 A2_C927
D7_B564 C3_A411
D7_B589 A7_C246
D7_B592 A1_A15
D7_B62 C1_C918
D7_B621 C3_B660
D7_B672 D7_B58
D7_B705 D6_B453
D7_B847 A1_A120
D7_B859 C1_C346
D7_B872 A5_A435
D7_B890 D1_B853
D7_B909 C7_A408
D7_B919 D5_B705
D7_B922 D3_B694
D7_B961 A6_A968
D7_C135 C5_B209
D7_C174 A4_A252
D7_C186 D2_B788
D7_C199 B1_C438
D7_C205 B1_B543
D7_C211 D5_C20
D7_C211 D5_C20
D7_C236 A5_A174
D7_C237 D3_A620
D7_C240 A2_A831
D7_C265 D3_A299
D7_C303 B6_A642
D7_C382 C2_B998
D7_C384 C2_C412
D7_C384 C2_C412
D7_C54 A5_B673
D7_C589 D7_B916
D7_C605 C2_C671
D7_C681 D2_A18
D7_C82 A4_A844
D7_C850 B7_C315
D7_C881 D5_C645
D7_C881 D5_C645
D7_C918 B3_C434
D7_C956 B1_A669
